PPP1R12B,axolotl_gene,human_gene,D0,D0.5,D1,D1.5,D2,D3,D4,D5,D7,D9,D10,D12,D14,D16,D18,D20,D22,D24,D26,D28,LFC,ME,LME
5855,axo06705-f_at,HBA2,17979.84546,21754.63212,26861.97945,18951.88856,18731.45049,13199.32012,13325.83209,13162.89313,14819.01565,11756.91559,16826.56416,5377.610577,6395.206328,3703.739793,11640.30306,7704.991768,9326.144062,7435.948175,9021.002168,5849.886831,-2.27932597,12691.25848,13.63154752
4108,axo07215-M_at,EEF1A1,14094.2589,13658.98822,13383.86335,13792.01855,13616.80865,13107.62787,13169.21746,12901.85601,12209.59732,12723.05055,13328.45559,5529.921671,5416.690632,5638.071428,13592.30019,14987.96611,14903.13267,15022.50727,14973.8958,14823.1352,-1.37962402,12543.66817,13.61467168
11374,axo18663-f_at,RPS21,14043.80258,13314.7249,13076.28404,13296.76803,13476.80602,13479.57136,13681.64423,13583.82352,13492.30298,13623.46438,13284.81024,5580.625736,5271.97093,5182.523148,13173.0336,13513.0339,13452.05535,13582.43008,13778.08726,13629.75492,-1.43820706,12275.87586,13.58353834
4034,axo09441-r_at,DYNLL1,9894.012453,10960.81914,10841.9452,11313.13381,12053.0864,13922.66722,13621.93469,13506.17935,13772.06238,13646.00472,13426.90341,5770.015144,5642.129679,5635.04689,15147.41511,14585.99314,14560.56785,15138.95497,15026.30843,15375.20472,0.635978,12192.01924,13.57364946
10389,axo07362-f_at,PRMT1,12125.46119,12051.165,12321.92467,12292.32333,12672.38104,12932.9162,13273.79244,12509.77308,12749.61445,12572.14329,12137.65417,5394.786049,5197.6769,5539.252622,13556.96859,14293.54352,14871.49433,14061.42319,14115.68969,13940.89921,-1.22210076,11930.54415,13.54237222
12095,axo08391-f_at,SLC25A3,14468.65304,13293.17403,13011.42182,12999.72064,12646.17966,12970.40583,12888.42185,12872.7708,12616.68259,12698.22301,13001.09034,5408.107523,5125.144622,5119.791098,12767.09789,12929.84177,12962.79319,13310.76622,13630.27453,13624.7487,-1.49877377,11917.26546,13.54076561
13897,axo11698-r_at,TUBB2C,10224.44562,11354.30673,12224.60306,12414.57283,12972.15907,13118.01673,13579.51186,13107.50068,13345.44692,13019.36983,12802.84664,5592.369265,5457.271067,5325.204744,13324.6406,13600.59361,13729.98092,14026.63183,14218.68082,13799.59207,-0.94111372,11861.88724,13.53404594
5733,axo09215-f_at,GSTP1,12665.54028,14357.54039,12154.73652,14040.32782,13282.0112,12816.74238,10667.76257,10731.88589,9691.981932,10661.60487,10721.66988,4488.50529,4908.636026,5388.21611,13735.93979,14706.85352,15234.19873,14524.27972,15086.86051,15581.07334,-1.49660162,11772.31834,13.52311084
308,axo31372-f_at,Afp,21541.55835,20908.16747,20154.3551,21202.26833,21263.52262,19765.70783,17254.92999,16128.571,13888.07477,13027.10599,9064.005367,3646.260803,3288.186721,3112.574795,5884.581084,6411.370206,4320.231781,5429.463752,4634.856639,4206.052084,-2.79094221,11756.59223,13.52118232
5495,axo11713-f_at,GNB2L1,13449.54736,13261.2762,13036.9069,12877.3222,12941.03154,12632.8366,12682.15241,12389.47986,12062.16287,12430.79547,12329.68225,5128.679101,4990.246722,4984.372138,12140.86001,13209.52528,13525.0565,13122.64574,13654.67163,13486.76764,-1.43207393,11716.80092,13.5162911
